product_category,en,nl,de,fr
Power tool,Paint sprayer,Verfspuit,Farbspritzpistole,Pistolet à peinture
Power tool,Planer,Schaafmachine,Hobelmaschine,Raboteuse
Power tool,Polisher,Boenmachine,Bohnermaschine,Cireuse
Power tool,Pond pump,Vijverpomp,Teichpumpe,Pompe de bassin
Power tool,Pool filter pump,Zwembadfilterpomp,Schwimmbad-Filterpumpe,Pompe pour filtre de piscine
Power tool,Pressure sprayer / Garden sprayer,Drukspuit / Tuinsproeier,Drucksprühgerät / Gartenspritze,Pulvérisateur à pression / Pulvérisateur de jardin
Power tool,Pruning shears / Garden shears / Secateurs,Snoeischaar / tuinschaar,Gartenschere,Sécateur jardin / Cisaille jardin
Power tool,Pump,Pomp,Pumpe,Pompe
Power tool,Robot window cleaner,Robot-ramenwisser / Robot-ruitenreiniger,Roboter-Fensterreiniger,Robot essuie-vitres / Robot nettoyeur de vitres
Power tool,Robotic pool cleaner / Pool robot,Robot-zwembadreiniger / Zwembadrobot,Roboter-Poolreiniger / Pool-Roboter,Robot nettoyeur de piscine / Robot de piscine
Power tool,Roller shutter,Rolluik,Rollladen,Volet roulant
Power tool,Saber saw / reciprocating saw,Reciprozaag / sabelzaag,Säbelsäge,Scie sabre
Power tool,Sander,Schuurmachine,Rutscher,Ponceuse
Power tool,Sawing machine,Zaagmachine,Sägemaschine,Scieuse
Power tool,Screw drill,Schroefboormachine,Bohrschrauber,Perceuse-visseuse
Power tool,Screwdriver,Schroevendraaier,Schraubenzieher,Tournevis
Power tool,Slot cutter,Sleuvenfrees,Mauernutfräse / Schlitzfräse,Fraise à rainurer
Power tool,Snowblower,Sneeuwblazer,Schneeschleuder,Souffleuse à neige
Power tool,Soldering station,Soldeerstation,Lötstation,Station de soudage
Power tool,Steam cleaner,Stoomreiniger,Dampfreiniger,Nettoyeur vapeur / balai vapeur
Power tool,Straight grinder,Rechte slijper,Geradschleifer,Meuleuse
Power tool,Strimmer,Strimmer / Maaier,Strimmer / Mäher,Strimmer / Débroussailleuse
Power tool,Submersible pump,Dompelpomp,Tauchpumpe,Pompe immergée
Power tool,Table saw,Tafelzaag,Tischsäge,Scie sur table
Power tool,Upright vacuum cleaner,Steelstofzuiger,Stabstaubsauger,Aspirateur balai
Power tool,Wallpaper dryer,Behangafstomer,Dampf-Tapetenablöser,Décolleuse papier peint
Power tool,Water blaster / High-pressure cleaner / Jet washer,Hogedrukreiniger,Hochdruckreiniger,Nettoyeur haute pression
Power tool,Water pump,Waterpomp,Wasserpumpe,Pompe à eau
Power tool,Weed brush,Onkruidborstel,Unkrautbürste,Brosse à mauvaises herbes
Power tool,Welding machine,Lasapparaat,Schweißmaschine,Machine à souder
Power tool,Window wiper,Ramenwisser,Fensterwischer,Lave-vitres
Printer/scanner,Copier,Kopieerapparaat,Kopierer,Photocopieur
Printer/scanner,Label printer,Labelapparaat,Label- / Beschriftungsgerät,Étiqueteuse
Printer/scanner,Photo printer,Fotoprinter,Fotodrucker,Imprimeur photo
Printer/scanner,Printer,Printer,Drucker,Imprimante
Printer/scanner,Printer / scanner,Printer / scanner,Drucker / Scanner,Imprimante / scanneur
Printer/scanner,Scanner,Scanner,Scanner,Scanneur
product_category_ords,partner_product,#N/A,#N/A,#N/A
Projector,Diaviewer / Slide viewer,Diaviewer / Diascanner,Diaviewer / Diabetrachter,Diaviewer / Visionnaire de diapositives
Projector,Film projector,Filmprojector,Filmprojektor,Projecteur de cinéma
Projector,Overhead projector,Overheadprojector,Overheadprojektor,Rétroprojecteur
Projector,Slide projector / Dia viewer,Diaprojector,Diaprojektor,Projecteur de diapositives
Projector,Video projector,Videoprojector,Videoprojektor,Projecteur vidéo
Sewing machine,Bag sewing machine,Zakkennaaimachine,Sacknähmaschine,Machine à coudre pour sac
Sewing machine,Overlock machine,Lockmachine,Overlock-Nähmaschine,Surjeteuse
Sewing machine,Sewing machine,Naaimachine,Nähmaschine,Machine à coudre
Small home electrical,Advent candlestick electric,Adventskandelaar elektrisch,Kerzenständer für Advent elektrisch,Cierge de l'Avent électrique
Small home electrical,Air pump,Luchtpomp,Luftpumpe,Pompe à air
Small home electrical,Alarm (PIR) Sensor,Alarm (PIR) Sensor,Alarm (PIR) Sensor,Alarm (PIR) Sensor
Small home electrical,Altitude generator,Hoogtegenerator,Höhengenerator,Générateur d'altitude
Small home electrical,Answering machine,Antwoordapparaat,Anrufbeantworter,Répondeur
Small home electrical,Aquarium pump,Aquariumpomp,Aquariumpumpe,Pompe aquarium
Small home electrical,Baby monitor,Babyfoon,Babyfon,Babyphone
Small home electrical,Battery tester,Batterijtester,Batterie-Tester,Testeur de piles
Small home electrical,Bed motor,Bedmotor,Bettmotor,Moteur de lit
Small home electrical,Bed wetting alarm,Plaswekker,Weckgerät bei Einnässen,Alarme pipi
Small home electrical,Bicycle pump / tyre inflator,Fietspomp,Luftpumpe Fahrrad,Pompe à vélo
Small home electrical,Big Shot crafting device,Big Shot knutselapparaat,Big Shot Bastelmaschine,Big Shot machine artisanale
Small home electrical,Bingo machine,Bingomachine,Bingo-Maschine,Machine à bingo
Small home electrical,Blood pressure monitor,Bloeddrukmeter,Blutdruckmessgerät,Tensiomètre
Small home electrical,Boiler programmer,Programmeerapparaat verwarmingsketel / boiler,Kesselprogrammiergerät,Programmateur de chaudière
Small home electrical,Brush robot,Borstelrobot,Bürstenroboter,Robot brosse
Small home electrical,Bug zapper,Insectenvanger / insectendoder,Insektenvernichter / Insekten-Zapper,Zapper de moustiques / tueur d'insectes
Small home electrical,Calculator,Rekenmachine,Rechenmaschine,Calculatrice
Small home electrical,Caller ID device,Nummermelder,Rufnummernanzeige-Gerät,Appareil d'identification de l'appelant
Small home electrical,Candle on battery,Kaars op batterij,"Kerze, batteriebetrieben",Bougie à piles
Small home electrical,Carbon monoxide detector,Koolmonoxidemelder,Kohlenmonoxidmelder,Détecteur de monoxyde de carbone
Small home electrical,Cigarette filler,Sigarettenvuller,Zigarettenmaschine,Remplisseur de cigarettes
Small home electrical,Clipper / trimmer,Tondeuse / trimmer,Haarschneidemaschine / Tondeuse,Tondeuse multi-usage
Small home electrical,Coin counter,Muntenteller,Münzenzähler,Compteur pièces monnaie
Small home electrical,Controller,Controller,Controller,Manette
Small home electrical,Cutting machine,Snijmachine,Schneidemaschine,Coupeuse
Small home electrical,Digital Ampere Meter,Digitale ampèremeter,Amperemeter digital,Ampèremètre
Small home electrical,Digital photo frame,Digitaal fotolijstje,Fotorahmen digital,Cadre photo numérique
Small home electrical,Dimmer,Dimmer,Dimmer,Gradateur
Small home electrical,Distometer / Range finder / Distance meter,Distometer / Afstandsmeter,Distometer / Abstandsmesser,Distometer / Mesureur de distance
Small home electrical,Doorbell,Deurbel,Türklingel,Sonnette (de maison)
Small home electrical,Drinking water pump,Drinkwaterpomp,Trinkwasserpumpe,Pompe eau potable
Small home electrical,E-vitalizer,E-vitalizer,E-vitalizer,E-vitalizer
Small home electrical,Electric blanket,Elektrische deken,Heizdecke elektrisch,Couverture électrique
Small home electrical,Electric candle,Elektrische kaars,Elektrische Kerze,Bougie électrique
Small home electrical,Electric convector,Elektrische convector,Elektrischer Konvektor,Convecteur électrique
Small home electrical,Electric eraser,Elektrische gum,Radiergummi elektrisch,Gomme électrique
Small home electrical,Electric fireplace / decorative fireplace,Elektrische haard / sierhaard,Elektrischer Kamin / Dekokamin,Cheminée électrique / décorative
Small home electrical,Electric fly swatter,Elektrische vliegenmepper,Fliegenklatsche elektrisch,Tapette à mouches électrique
Small home electrical,Electric heater / radiator,Elektrische kachel / radiator,Elektrische Heizung / Elektrischer Heizkörper,Radiateur électrique
Small home electrical,Electric hot water bottle,Elektrische kruik,Wärmflasche elektrisch,Bouillotte électrique
Small home electrical,Electric pencil sharpener,Elektrische puntenslijper,Bleistiftspitzer elektrisch,Taille-crayons électrique
Small home electrical,Electric scissors,Elektrische schaar,Schere elektrisch,Ciseaux électriques
Small home electrical,Electric stapler,Elektrische nietmachine,Tacker elektrisch,Agrafeuse électrique
Small home electrical,Electric step,Elektrische step,Elektrischer Scooter / Tretroller,Trottinette électrique / Patinette électrique
Small home electrical,Electric towel dryer,Elektrische handdoekdroger,Handtuchtrockner elektrisch,Sèche serviette électrique
Small home electrical,Electric window lock,Elektrische raamsluiting,Fensterverriegelung elektrisch,Fermeture fenêtre électrique
Small home electrical,Electrolyser,Elektrolyser,Elektrolyseur,Electrolyseur
Small home electrical,Electrostimulator,Elektrostimulator,Elektrostimulator,Électrostimulateur
Small home electrical,Energy cost meter,Energiekostenmeter,Energiekostenzähler,Compteur de coûts d'énergie
Small home electrical,Fan heater,Ventilatorkachel,Gebläseheizung / Heizlüfter,Radiateur soufflant
Small home electrical,Flour grinder / flour mill,Graanmolen / bloemmolen,Getreidemühle,Moulin à céréales
Small home electrical,Fluff clippers / Fluff remover,Pluizentondeuse,Fusselrasierer,Rassoir en tissu
Small home electrical,Fluff clippers / Lint shaver,Pluizentondeuse,Fusselrasierer,Rassoir en tissu
Small home electrical,Fly fan,Vliegenwaaier,Fliegenfächer,Ventilateur de mouches
Small home electrical,Folding machine,Vouwmachine,Falzmaschine,Plieuse
Small home electrical,Foot warmer / Foot bag / Foot muff,Voetenwarmer / Voetenzak,Fußwärmer / Fußsack,Chauffe-pieds / Sac à pied
Small home electrical,Garden sprinkler,Tuinsproeier,Sprinkler,Arroseur rotatif
Small home electrical,Grabber,Grijper,Greifzange,Pince de ramassage
Small home electrical,Heat goggles,Warmtebril,Wärmebrille,Lunettes de chaleur
Small home electrical,Heated dryer / airer,Elektrisch droogrek,Elektrischer Trockenständer,Séchoir électrique
Small home electrical,Heater,Heater / verwarmer,Heater / Heizgerät,Heater / chauffage
Small home electrical,Heating element,Verwarmingselement,Heizelement,Élément de chauffage
Small home electrical,Heating pad / heat cushion,Warmtekussen,Wärmekissen,Coussin chauffant
Small home electrical,Humidity meter / moisture meter,Vochtmeter / Vochtigheidsmeter,Feuchtigkeitsmesser,Humidimètre
Small home electrical,Inhaler,Inhaler / Inhalator,Inhalator / Inhaler,Inhalateur
Small home electrical,Intercom,Intercom,Sprechanlage,Interphone
Small home electrical,Inverter,Omvormer,Stromrichter / Wechselrichter,Convertisseur / Onduleur / Inverseur
Small home electrical,Irrigation controller,Beregeningsregelaar,Bewässerungssteuerung,Contrôleur d'arrosage
Small home electrical,Jewelry tool,Sieradengereedschap,Schmuckwerkzeug,Outil de bijouterie
Small home electrical,Knitting machine,Breimachine,Strickmaschine,Machine à tricoter
Small home electrical,Label printer,Labelapparaat,Label- / Beschriftungsgerät,Étiqueteuse
Small home electrical,Lable machine,Lettertang,Prägezange,Dymo
Small home electrical,Laminator,Lamineerapparaat,Laminiergerät,Plastifieuse
Small home electrical,Laser,Laser,Laser,Laser
Small home electrical,Laser measure / laser measuring device,Lasermeter / Lasermeetapparaat,Laser-Messgerät,Appareil de mesure laser / metre laser
Small home electrical,Laundry rack,Wasrek,Wäscheständer,Séchoir
Small home electrical,Massage cushion,Massagekussen,Massagekissen,Coussin de massage
Small home electrical,Microscope,Microscoop,Mikroskop,Microscope
Small home electrical,Mole repellent,Mollenverjager,Maulwurfschreck,Chasse-taupe
Small home electrical,Mosquito lamp,Muggenlamp,Mückenlampe,Lampe antimoustique
Small home electrical,Motion sensor,Bewegingssensor,Bewegungssensor,Capteur de mouvement
Small home electrical,Motor unit,Motorunit,Motorunit / Motorblock,Motorunit / block moteur
Small home electrical,Movable table,Roltafeltje,Rolltisch,Table basse à roulettes
Small home electrical,Multimeter,Multimeter,Multimeter,Multimètre
Small home electrical,Muscle stimulator,Spierstimulator,Muskel-Stimulator,Stimulateur musculaire
Small home electrical,Neck warmer,Nekwarmer,Nackenwärmer,Chauffe-nuque
Small home electrical,Oil diffuser,Aroma diffuser,Diffuseur d'huiles essentielles,Aroma Diffusor
Small home electrical,Oscilloscope,Oscilloscoop,Oszilloskop,Oscilloscope
Small home electrical,Oxygenator,Zuurstofapparaat,Iltningsapparat,Oxygénateur
Small home electrical,Patio heater / outdoor heater,Terrasverwarmer,Terrassenheizer,Chauffage de patio / chauffage de terrasse
Small home electrical,Personal alarm,Persoonsalarm,Notrufsystem für Pflege / Senioren,Alarme personne
Small home electrical,Personal scales,Personenweegschaal,Personenwaage,Pèse personne
Small home electrical,Pet clipper,Huisdierentondeuse,Schermaschinen für Haustiere,Tondeuse pour animaux
Small home electrical,Pipe detector,Leidingdetector,Rohrdetektor,Détecteur de tuyaux
Small home electrical,Radiant heater,Straalkachel,Heizstrahler,Chauffage radiant
Small home electrical,Recording device,Opname-apparaat,Aufnahmegerät,Enregistreur
Small home electrical,Roller blind motor,Motor van rolgordijn,Rollo-Motor,Moteur de store à rouleau
Small home electrical,Roller shutter programmer,Rolluik-programmeerapparaat,Programmierer für Rollläden,Programmateurs volets roulants
Small home electrical,Sanibroyeur toilet,Sanibroyeur,Sanibroyeur,Sanibroyeur
Small home electrical,Saturator / Oximeter,Saturatiemeter / Zuurstofmeter,Saturator / Oximeter,Saturateur / Oxymètre
Small home electrical,Scarifier,Verticuteermachine,Vertikutierer,Scarificateur motorisé
Small home electrical,Sealing device,Sealapparaat,Siegelgerät,Dispositif d'étanchéité
Small home electrical,Shoe dryer,Schoenendroger,Schuhtrockner,Sèche-chaussures
Small home electrical,Smoke detector,Rookmelder,Rauchmelder,Détecteur de fumée
Small home electrical,Solar panel,Zonnepaneel,Solarpanel,Panneau solaire
Small home electrical,Soldering iron,Soldeerbout,Lötkolben,Fer à souder
Small home electrical,Stapler,Nietmachine,Hefter,Agrafeuse
Small home electrical,Steam appliance (for textiles),Stoomapparaat (voor textiel),Dampfgerät (für Textil),Appareil à vapeur (pour textile) / Défroisseur
Small home electrical,Stone tumbler / Rock tumbler,Trommelmachine,Trommelmaschine,Tambour de polissage
Small home electrical,Stove,Kachel,Heizung,Poêle
Small home electrical,Tabletop fountain,Tafelfontein,Tischbrunnen / Zimmerbrunnen,Fontaine de table
Small home electrical,Tacker,Tacker,Tacker,Agrafeuse pneumatique
Small home electrical,Telephone (not mobile or smartphone),Telefoon (geen mobiele of smartphone),Telefon (kein Handy oder Smartphone),Téléphone (pas de portable ou smartphone)
Small home electrical,Thermal blanket,Warmtedeken,Wärmedecke,Couverture chauffante
Small home electrical,Thermometer,Thermometer,Thermometer,Thermomètre
Small home electrical,Thermostat,Thermostaat,Thermostat,Thermostat
Small home electrical,Tile cutter,Tegelsnijder,Fliesenschneider,Carrelette / Coupe-carreaux
Small home electrical,Towel rack,Handdoekenrekje,Handtuchhalter,Porte-serviette
Small home electrical,Typewriter,Typmachine,Schreibmaschine,Machine à écrire
Small home electrical,Ultrasonic stain remover,Ultrasone vlekkenverwijderaar,Ultraschall-Fleckenentferner,Détacheur à ultrasons
Small home electrical,Ultrasound machine,Echo-apparaat,Ultraschallgerät,Appareil d'échographie
Small home electrical,Vibration plate / Power plate,Trilplaat / Powerplate,Plateforme vibrante / Powerplate,Vibrationsplatte / Powerplate
Small home electrical,Voice recorder,Voicerecorder,Diktiergerät,Dictaphone
Small home electrical,Watch winder,Watchwinder / Horloge-opwinder,Uhrenbeweger / Watchwinder,Remontoir de montre / Watchwinder
Small home electrical,Water sprinkler timer,Watersproeitimer,Sprinkler-Zeitschaltuhr,Minuteur d'arrosage
Small home electrical,Waxing iron (for skis),Waxapparaat (voor ski's),Wachsbügeleisen (für Ski),Fer à farter (pour les skis)
Small home electrical,Weed burner,Onkruidbrander,Unkrautbrenner,Brûleur de mauvaises herbes
Small home electrical,Weed whacker,Onkruidverdelger,Unkrautvernichter,Tueur de mauvaises herbes
Small home electrical,White noise machine,White noise machine,Weißes-Rauschgerät,Machine à bruit blanc
Small home electrical,Windscreen defroster,Ruitontdooier,Enteiser für Windschutzscheiben,Dégivreur de pare-brise
Small home electrical,Wireless switch,Draadloze schakelaar,Drahtloser Schalter,Commutateur sans fil
Small kitchen item,Air fryer,Airfryer,Heißluftfritteuse / Airfryer,Friteuse à air chaud / Airfryer
Small kitchen item,Baby food maker,Babyvoedingmaker,Babynahrungszubereiter,Robot cuiseur-mixeur pour bébé
Small kitchen item,Baby milk maker,Babymelkapparaat,Babymilchmaschine,Machine à lait pour bébé
Small kitchen item,Baking machine,Bakapparaat,Backmaschine,Appareil de cuisson
Small kitchen item,Barbecue,Barbecue,Barbecue,Barbecue
Small kitchen item,Boiler,Boiler,Boiler,Ballon d'eau chaude / chaudière
Small kitchen item,Bottle warmer,Flessenwarmer,Flaschenwärmer,Chauffe biberon
Small kitchen item,Bread slicer,Broodsnijmachine,Brotschneidemaschine,Trancheuse à pain / coupe-pain
Small kitchen item,Breadmaker,Broodbakmachine,Brotbackautomat,Machine à pain
Small kitchen item,Can opener / Jar opener,Blikopener,Dosenöffner,Ouvre-boîte
Small kitchen item,Carpet cleaner,Tapijtreiniger,Teppichreiniger,Shampouineuse
Small kitchen item,Ceramic hob,Keramische kookplaat,Keramikkochfeld,Plaque vitrocéramique
Small kitchen item,Chafing dish,Rechaud,Rechaud,Réchaud
Small kitchen item,Cheese cutting machine,Kaassnijmachine,Käseschneider,Machine à couper le fromage
Small kitchen item,Chocolate fountain,Chocoladefontein,Schokoladenbrunnen,Fontaine de chocolat
Small kitchen item,Chopper,Hakmolen,Häcksler / Chopper,Hachoir
Small kitchen item,Citrus press,Citruspers,Zitruspresse,Presse-agrume
Small kitchen item,Cool box,Koelbox,Kühlbox,Glacière
Small kitchen item,Cotton candy machine,Suikerspinmachine,Zuckerwattemaschine,Machine à barbe à papa
Small kitchen item,Cover plate,Afdekplaat,Abdeckplatte,Plaque de recouvrement
Small kitchen item,Cream-bruleeburner,Crème-bruleebrander,Gasbrenner für Crème brûlée,Brûleur à crème brûlée
Small kitchen item,Drying oven,Droogoven,Trockenofen,Four de séchage
Small kitchen item,Egg boiler / egg cooker,Eierkoker,Eierkocher,Cuiseur à oeufs
Small kitchen item,Electric baking tray,Elektrische bakplaat,Backblech elektrisch,Plaque de cuisson électrique
Small kitchen item,Electric cool box,Elektrische koelbox,Kühlbox elektrisch,Glacière électrique
Small kitchen item,Electric knife,Elektrisch mes,Elektromesser,Couteau électrique
Small kitchen item,Electric pan,Elektrische pan,Topf elektrisch,Fait-tout électrique
Small kitchen item,Electric urn / pot,Elektrische kan,Elektrische Kanne,Pichet électrique
Small kitchen item,Electrical wok,Elektrische wok,Wok elektrisch,Wok électrique
Small kitchen item,Feeding device for animals,Voederapparaat voor dieren,Futterautomat für Tiere,Distributeur de nourriture
Small kitchen item,Floor wiper,Vloerwisser,Bodenwischer,Raclette sol
Small kitchen item,Fondue set,Fondueset,Fondue-Set,Service à fondue
Small kitchen item,Food dehydrator,Voedseldroger,Lebensmitteltrockner,Sèche-nourriture
Small kitchen item,Fryer,Friteuse,Fritteuse,Friteuse
Small kitchen item,Frying pan,Koekenpan,Pfanne,Poêle à frire
Small kitchen item,Gravy warmer,Juswarmer,Soßenwärmer,Chauffe-sauce
Small kitchen item,Griddle,Grillplaat,Grillplatte,Plaque grill / plancha
Small kitchen item,Grill,Grill,Grill,Gril
Small kitchen item,Grill and raclette machine,Grill- en racletteapparaat,Grill- und Raclettegerät,Appareil à raclette et gril
Small kitchen item,Grill oven,Grilloven,Grillofen,Four à grill
Small kitchen item,Grill pan,Grillpan,Grillpfanne,Poêle grill
Small kitchen item,Herbal mill,Kruidenmolen,Gewürzmühle,Moulin à herbes
Small kitchen item,Hob,Kookplaat,Kochplatte,Table de cuisson
Small kitchen item,Hot dog maker,Hotdogapparaat,Hot-Dog-Maschine,Appareil à hot dog
Small kitchen item,Hot plate,Warmhoudplaatje,Warmhalteplatte,Chauffe-plat
Small kitchen item,Hot water dispenser,Heetwaterdispenser,Heißwasserspender,Distributeur d'eau chaude
Small kitchen item,Hydrometer,Hydrometer,Hydrometer,Hydromètre
Small kitchen item,Ice cream maker,Ijsmachine,Eismaschine,Machine à glace
Small kitchen item,Ice cube maker,IJsblokjesmachine,Eiswürfelmaschine,Fabrique à glaçons
Small kitchen item,Induction hob,Inductiekookplaat,Induktionskochplatte,Plaque induction
Small kitchen item,Juice extractor / Juicer,Sapcentrifuge,Entsafter / Saftzentrifuge,Extracteur de jus / centrifugeuse
Small kitchen item,Kitchen scales,Keukenweegschaal,Küchenwaage,Balance de cuisine
Small kitchen item,Meat cutter,Vleessnijder,Schneidemaschine für Fleisch,Coupe-jambon / trancheuse à jambon
Small kitchen item,Meat mill,Vleesmolen,Fleischmühle,Moulin à viandes
Small kitchen item,Milk frother,Melkopschuimer,Milchaufschäumer,Mousseur de lait
Small kitchen item,Milk jug,Melkkannetje,Milchkanne,Petit pot à lait
Small kitchen item,Milk pan,Melkpan,Milchkochtopf,Casserole à lait
Small kitchen item,Mincer,Gehaktmolen,Fleischwolf,Hachoir à viande
Small kitchen item,Mixer / blender,Mixer / blender,Mixer,Mixeur / Blender
Small kitchen item,Multicooker,Multicooker,Multicooker,Multicooker
Small kitchen item,Oven,Oven,Ofen,Four
Small kitchen item,Pancake maker,Pannenkoekenmachine,Pfannkuchenmaschine,Appareil à crêpes
Small kitchen item,Panini maker,Panini-apparaat,Panini-Maschine,Appareil à panini / machine à panini
Small kitchen item,Pasta maker,Pastamachine,Nudelmaschine,Fabricant de pâtes
Small kitchen item,Pedal bin,Pedaalemmer,Pedaleimer,Poubelle à pédale
Small kitchen item,Pepper and salt shakers,Peper- en zoutstel,Pfeffer-Salz-Set,Salière et poivrière
Small kitchen item,Pepper mill / Pepper grinder,Pepermolen,Pfeffermühle,Moulin à poivre
Small kitchen item,Pizza maker,Pizza-apparaat,Pizzamaschine,Cuiseur à pizza
Small kitchen item,Pizza oven,Pizzaoven,Pizzaofen,Four à pizza
Small kitchen item,Popcorn maker,Popcornmachine,Popcorn-Automat,Machine à pop-corn
Small kitchen item,Portable cooker,Draagbaar kooktoestel / campinggasje,Tragbarer Kocher / Campingkocher,Cuisinière portable / réchaud de camping
Small kitchen item,Potato peeler electric,Aardappelschilapparaat,Kartoffelschälgerät,Éplucheur de pommes de terre électrique
Small kitchen item,Pressure cooker,Snelkookpan,Schnellkochtopf,Autocuiseur / Cocotte-minute
Small kitchen item,Raclette grill,Raclettestel,Racletteofen,Appareil à raclette
Small kitchen item,Rice cooker,Rijstkoker,Reiskocher,Cuiseur riz
Small kitchen item,Rolled cookies iron,Kniepertjesijzer,Hörncheneisen,Gaufrier à cornets de glace
Small kitchen item,Sandwich maker,Tosti-apparaat,Sandwichtoaster,Appareil à croque-monsieur
Small kitchen item,Scales,Weegschaal,Waage,Terraillon / Balance
Small kitchen item,Slowcooker / Crock pot,Slowcooker,Slowcooker / Langsamkocher,Mijoteuse / Slowcooker
Small kitchen item,Smoothie maker,Smoothie-apparaat,Smoothie-Gerät,Appareil à smoothie
Small kitchen item,SodaStream,SodaStream,SodaStream,SodaStream
Small kitchen item,Soup maker,Soepmaker,Suppenzubereiter,Blender chauffant
Small kitchen item,Steam cooker,Stoomkoker,Dampfgarer,Cuiseur vapeur
Small kitchen item,Steamer / Steam oven,Stoomoven,Dampfbackofen,Four à vapeur
Small kitchen item,Steriliser,Steriliseerapparaat,Sterilisationsgerät,Stérilisateur
Small kitchen item,Still / Distiller,Distilleerapparaat,Destillierapparat,Distillateur
Small kitchen item,Stone grill,Steengrill,Steingrill,Pierrade
Small kitchen item,Stove,Kachel,Heizung,Poêle
Small kitchen item,Stove / Cooker,Fornuis,Kochherd,Cuisinière
Small kitchen item,Table grill,Tafelgrill,Tischgrill,Grill de table
Small kitchen item,Tea warmer,Theelichtje,Teelicht,Chauffe-théière
Small kitchen item,Teamaker / teasmade,Thee-apparaat,Teemaschine,Machine à thé
Small kitchen item,Teapot,Theepot,Teekanne,Théière
Small kitchen item,Toaster oven,Toastoven / mini-oven,Toastofen / Mini-Ofen,Mini four toaster
Small kitchen item,Waffle iron,Wafelijzer,Waffeleisen,Gaufrier
Small kitchen item,Weckkettle / pickling kettle,Weckketel / inmaakketel,Weckkessel / Einkochkessel,Weckkettle / bouilloire de conservation
Small kitchen item,Wine cooler,Wijnkoeler,Weinkühler,Refroidisseur de vin
Small kitchen item,Yogurt machine,Yoghurtmachine,Joghurtmaschine,Yaourtière
Tablet,Bicycle computer,Fietscomputer,Fahrradcomputer,Ordinateur vélo / Compteur vélo
Tablet,Children's computer,Kindercomputer,Kindercomputer,Ordinateur pour enfant
Tablet,Computer,Computer,Computer,Ordinateur
Tablet,E-reader / E-book reader,E-reader,E-Reader,Liseuse électrique
Tablet,GPS plotter,GPS-plotter,GPS-Plotter,Traceur GPS
Tablet,GPS tracker,GPS-tracker,GPS-Tracker,Traqueur GPS
Tablet,Graphics tablet,Graphics tablet,Graphics tablet,Graphics tablet
Tablet,iPad (tablet),iPad (tablet),iPad (tablet),iPad (tablet)
Tablet,Navigation system,Navigatiesysteem,Navigationssystem,Système de navigation
Tablet,PDA,PDA,PDA,Ordinateur de poche
Tablet,Tablet,Tablet,Tablet-PC,Ordinateur tablette
Tablet,Weather station,Weerstation,Wetterstation,Station météo
Toaster,Grill toaster,Grill-tostiapparaat,Kontaktgrill,Appareil croque-monsieur
Toaster,Toaster,Broodrooster,Toaster,Grille-pain
Toy,Big Mouth Billy Bass,Big Mouth Billy Bass,Big Mouth Billy Bass,Big Mouth Billy Bass
Toy,Brush robot,Borstelrobot,Bürstenroboter,Robot brosse
Toy,Carnival / fairground attraction toy,Kermisattractie speelgoed,Jahrmarktsattraktion Spielzeug,Attraction foraine jouet
Toy,Children's kitchen,Kinderkeuken,Kinderküche,Cuisine jouet
Toy,Christmas tree,Kerstboom,Weihnachtsbaum,Sapin de Noël
Toy,Computer game,Computerspel,Computerspiel,Jeu d'ordinateur
Toy,Controller,Controller,Controller,Manette
Toy,Crossword solver,Kruiswoordraadseloplosser,Kreuzworträtsel-Löser,Solutionneur de mots croisés
Toy,Cuddly toy / stuffed toy / Plushie,Knuffel,Plüschfigur,Doudou / Péluche
Toy,Decoration,Decoratie,Dekoration,Décoration
Toy,Doll,Pop,Puppe,Poupée
Toy,Drone,Drone,Drone,Drone
Toy,Drone / Quadcopter,Drone / Quadcopter,Drone / Quadcopter,Drone / Quadcopter
Toy,Electric fire truck / fire engine,Elektrische brandweerwagen,Elektrisches Feuerwehrauto,Moteur électrique d'incendie
Toy,Electric play mat,Elektrisch speelkleed,Spielteppich elektrisch,Tapid de jeu électrique
Toy,Electric skateboard,Elektrisch skateboard,Elektro-Skateboard / Skateboard elektrisch,Skateboard électrique
Toy,Electric step,Elektrische step,Elektrischer Scooter / Tretroller,Trottinette électrique / Patinette électrique
Toy,Electric train,Elektrische trein,Elektrische Eisenbahn,Train électrique
Toy,Electronic dartboard,Elektronisch dartbord,Dartscheibe elektronisch,Jeu de fléchettes électronique
Toy,Electronic dice,Elektronische dobbelsteen,Elektronischer Würfel,Dé électronique
Toy,Game,Spel,Spiel,Jeu
Toy,Globe with lighting,Globe met verlichting,Globus mit Beleuchtung,Globe lumineux
Toy,Hoverboard,Hoverboard,Hoverboard,Hoverboard
Toy,Interactive book,Interactief boek,Interaktives Buch,Livre interactif
Toy,Keyboard,Toetsenbord,Tastatur,Clavier
Toy,Lightsaber,Lichtzwaard,Lichtschwert,Sabre laser / Sabre lumineux
Toy,Music book,Muziekboekje,Musikbuch,Livre musical
Toy,Music box (toy),Speeldoos,Spieluhr,Boîte à musique (jouet)
Toy,Other,Overig,Anderes,Divers
Toy,Pinball machine,Flipperkast,Flipper,Flipper
Toy,Racing car,Race-auto,Rennauto,Voiture de course
Toy,Racing track,Racebaan,Autorennbahn,Circuit de voiture
Toy,Railroad tracks,Spoorrails,Eisenbahnschienen,Rails de chemin de fer
Toy,Remote controlled car,Afstandbestuurbare auto,Ferngesteuertes Auto,Voiture téléguidée
